alpha,score_type,q0,q1,mean_width_t0,mean_width_t1,coverage_factual,auc_factual,n_test,n_decide_t0,n_decide_t1,n_abstain,mean_regret_decided,p90_regret_decided,max_regret_decided
0.01,residual,0.9537563350330992,0.9315914253611101,0.9931338541122783,0.9938458440164166,0.9879914333792259,0.7565627469091388,13074,0,0,13074,,,
0.05,residual,0.6700474964906277,0.8508303002321819,0.8640096920336042,0.9632904445402285,0.9467645709040844,0.7565627469091388,13074,0,0,13074,,,
0.1,residual,0.25062869015201444,0.742202839709675,0.4166511291450652,0.892049306426669,0.8969710876548875,0.7565627469091388,13074,0,0,13074,,,
0.2,residual,0.11355770916772633,0.23120371430184644,0.20258468951488887,0.3738978148474949,0.7957778797613584,0.7565627469091388,13074,2829,6698,3547,0.0,0.0,0.0
0.3,residual,0.05984730717687532,0.17384086545971475,0.10974725188343142,0.29714549963205156,0.6998623221661312,0.7565627469091388,13074,3274,7790,2010,0.0,0.0,0.0
0.4,residual,0.03253899364443845,0.14264260595936604,0.061021085395923665,0.25191900461610356,0.5969098975065015,0.7565627469091388,13074,3390,8293,1391,0.0,0.0,0.0
